rank,datetime_x,instrument,probability,expected_5d_return,datetime_y,name,board,close,previous_observed_close,daily_return,is_eligible,is_suspended,is_st_any,limit_up_threshold,is_limit_up,passes_binary_threshold,key,industry,market
1,2020-07-31,SH600297,0.54947466,0.009459808,2020-07-31,广汇汽车,Main,3.9,3.88,0.0051546391752577,True,False,False,0.095,False,True,sh600297,汽车整车,沪市
2,2020-07-31,SH600703,0.54829,0.00931538,2020-07-31,三安光电,Main,26.94,26.38,0.0212282031842305,True,False,False,0.095,False,True,sh600703,LED,沪市
3,2020-07-31,SZ000703,0.5408555,0.008408988,2020-07-31,恒逸石化,Main,10.15,10.12,0.0029644268774704,True,False,False,0.095,False,True,sz000703,炼化及贸易,深市
4,2020-07-31,SH600000,0.5375943,0.00801139,2020-07-31,浦发银行,Main,10.36,10.4,-0.0038461538461539,True,False,False,0.095,False,True,sh600000,股份制银行Ⅲ,沪市
5,2020-07-31,SZ002032,0.5365212,0.007880559,2020-07-31,苏 泊 尔,Main,84.81,85.28,-0.0055112570356472,True,False,False,0.095,False,True,sz002032,厨房小家电,深市
6,2020-07-31,SZ000860,0.53594834,0.0078107174,2020-07-31,顺鑫农业,Main,61.88,62.2,-0.005144694533762,True,False,False,0.095,False,True,sz000860,白酒Ⅱ,深市
7,2020-07-31,SZ002938,0.5283831,0.006888382,2020-07-31,鹏鼎控股,Main,51.0,48.87,0.0435850214855739,True,False,False,0.095,False,True,sz002938,元件,深市
8,2020-07-31,SZ000725,0.52712893,0.006735481,2020-07-31,京东方Ａ,Main,4.67,4.59,0.0174291938997821,True,False,False,0.095,False,True,sz000725,光学光电子,深市
9,2020-07-31,SZ002739,0.5217106,0.0061032,2020-07-31,万达电影,Main,17.35,17.35,0.0,True,False,False,0.095,False,True,sz002739,传媒,深市
10,2020-07-31,SH600989,0.52153647,0.006089018,2020-07-31,宝丰能源,Main,10.32,10.57,-0.0236518448438978,True,False,False,0.095,False,True,sh600989,化学原料,沪市
11,2020-07-31,SH600547,0.5183606,0.0058303247,2020-07-31,山东黄金,Main,43.01,41.35,0.0401451027811365,True,False,False,0.095,False,True,sh600547,有色金属,沪市
12,2020-07-31,SH600340,0.51072645,0.0052084737,2020-07-31,华夏幸福,Main,17.35,17.33,0.0011540680900175,True,False,False,0.095,False,True,sh600340,产业地产,沪市
13,2020-07-31,SH601077,0.50862503,0.0050373,2020-07-31,渝农商行,Main,5.15,5.15,0.0,True,False,False,0.095,False,True,sh601077,农商行Ⅲ,沪市
