,gain
MAX5,81.83845520019531
KLOW2,69.7061538696289
IMIN5,69.6792221069336
RESI30,66.87944793701172
SUMD60,65.93016815185547
VMA20,63.27865219116211
RESI60,60.64976119995117
RESI20,58.849365234375
BETA20,58.49039840698242
SUMN60,55.89878845214844
ROC30,54.816593170166016
IMAX10,54.3802375793457
IMXD5,53.42833709716797
ROC5,53.29096603393555
SUMN30,52.668704986572266
MA60,51.739139556884766
STD60,50.022926330566406
RANK5,49.752296447753906
QTLU60,49.39282989501953
IMXD20,48.17053985595703
BETA60,48.040931701660156
SUMP30,47.649322509765625
ROC60,47.59947967529297
IMXD60,46.95817184448242
RANK20,46.87632751464844
ROC20,46.78537368774414
CNTP30,46.504085540771484
RSQR30,46.0694580078125
VSTD30,45.15512466430664
SUMD30,45.03764343261719
MAX30,44.15106201171875
RSV5,43.88505935668945
MAX60,43.72108840942383
IMXD30,43.578731536865234
CNTD60,43.46100997924805
CORR20,43.45880126953125
QTLD20,42.65395736694336
MIN60,42.37360763549805
BETA30,41.5230598449707
SUMP60,41.003807067871094
QTLU30,40.98982620239258
RANK60,40.949310302734375
RSQR60,40.89057922363281
SUMD5,39.9442138671875
CNTP60,39.81624221801758
SUMN5,39.57393264770508
IMXD10,39.56881332397461
IMAX30,39.541690826416016
MIN5,39.28464889526367
CNTP20,38.95682907104492
KSFT,38.89910125732422
QTLU10,38.26117706298828
HIGH0,38.202144622802734
CNTN30,37.878074645996094
STD10,37.69112014770508
QTLD60,37.510765075683594
OPEN0,37.30194854736328
CNTD30,37.08136749267578
STD30,37.008941650390625
CORR10,36.91596603393555
QTLU5,36.86392593383789
CNTN5,36.7115478515625
QTLU20,36.53086853027344
RESI10,36.49678421020508
BETA5,36.399322509765625
KMID2,36.33989334106445
BETA10,36.28190612792969
WVMA10,36.14527130126953
STD20,35.863182067871094
MIN10,35.843284606933594
MIN30,35.79792404174805
QTLD10,35.0713005065918
MA5,34.763336181640625
KSFT2,34.4168701171875
SUMP20,34.221832275390625
MAX20,34.10687255859375
RSQR10,33.985267639160156
VSTD20,33.95100402832031
CORR60,33.81456756591797
IMIN10,33.704837799072266
CNTD5,33.053611755371094
SUMN20,32.97502899169922
VSUMN20,32.89439392089844
KUP2,32.70087814331055
CORR30,32.61006546020508
RANK30,31.88736915588379
WVMA60,31.873029708862305
IMIN30,31.864482879638672
VSUMP20,31.532503128051758
RSV60,31.498088836669922
MA20,31.496610641479492
SUMD20,31.438228607177734
STD5,31.379472732543945
CNTN60,30.801780700683594
QTLD5,30.67009925842285
SUMN10,30.32853126525879
CORR5,30.226533889770508
VSTD5,30.041767120361328
ROC10,30.032236099243164
VMA30,29.812957763671875
VSUMP10,29.744338989257812
MAX10,29.664220809936523
VSUMD30,29.477096557617188
QTLD30,29.184667587280273
IMIN60,29.151582717895508
KLEN,29.15043830871582
IMAX60,29.074281692504883
CORD10,28.974367141723633
WVMA30,28.92087173461914
RSV30,28.281387329101562
MA30,28.250293731689453
KMID,28.15378761291504
CORD60,28.0283145904541
VSUMN10,27.904287338256836
KUP,27.44373893737793
SUMP10,27.3732967376709
VMA60,27.292160034179688
WVMA20,27.168235778808594
CNTD20,26.94274139404297
RANK10,26.92841339111328
RSV20,26.902225494384766
VMA5,26.766725540161133
VSUMN60,26.7045955657959
LOW0,26.46033477783203
VSUMD10,26.33145523071289
IMIN20,25.95018196105957
CNTD10,25.907085418701172
VSUMP5,25.8339786529541
MIN20,25.556262969970703
RESI5,25.520238876342773
VSTD10,25.305675506591797
SUMP5,24.968215942382812
VSUMP30,24.927764892578125
CNTN20,24.0588321685791
CORD20,23.88097381591797
KLOW,23.845029830932617
CNTN10,23.843412399291992
IMAX20,23.59378433227539
RSQR5,23.56890106201172
RSQR20,23.475000381469727
VMA10,23.016891479492188
WVMA5,22.47751235961914
VSUMN30,21.9262638092041
CORD5,21.724441528320312
VSTD60,21.719797134399414
CORD30,21.428682327270508
RSV10,21.35057258605957
VSUMD5,20.580657958984375
MA10,20.564149856567383
VSUMP60,20.065113067626953
SUMD10,18.586496353149414
CNTP10,18.554916381835938
VSUMD60,16.294994354248047
VSUMN5,14.984130859375
IMAX5,10.900834083557129
CNTP5,10.009400367736816
