probability_bin,probability_mean,expected_5d_return,observations,win_rate
"(0.15, 0.2]",0.19029671,-0.13994347,5,0.2
"(0.2, 0.25]",0.23420809,-0.036294233,73,0.4246575342465753
"(0.25, 0.3]",0.28087804,-0.021403935,424,0.45047169811320753
"(0.3, 0.35]",0.33036664,-0.024686288,1422,0.3924050632911392
"(0.35, 0.4]",0.38036397,-0.01100808,5145,0.4305150631681244
"(0.4, 0.45]",0.42949224,-0.0014293503,18026,0.48574281593254187
"(0.45, 0.5]",0.4762075,0.002396686,38040,0.5025499474237645
"(0.5, 0.55]",0.5224103,0.006160195,30676,0.5237645064545573
"(0.55, 0.6]",0.57126826,0.012116822,13883,0.5687531513361666
"(0.6, 0.65]",0.6211627,0.015406154,5203,0.6019604074572362
"(0.65, 0.7]",0.6712135,0.020290852,2055,0.6257907542579075
"(0.7, 0.75]",0.72178125,0.0067092027,940,0.5531914893617021
"(0.75, 0.8]",0.772217,-0.029775402,475,0.4168421052631579
"(0.8, 0.85]",0.8162107,-0.032525238,162,0.3888888888888889
"(0.85, 0.9]",0.86715925,-0.3141362,1,0.0
